Source,Target,Type,weight,book
Jaime-Lannister,Lancel-Lannister,Undirected,22,4
Jaime-Lannister,Sandor-Clegane,Undirected,9,4
Jaime-Lannister,Sansa-Stark,Undirected,6,4
Jaime-Lannister,Loras-Tyrell,Undirected,10,4
Jaime-Lannister,Tommen-Baratheon,Undirected,26,4
Jaime-Lannister,Mariya-Darry,Undirected,6,4
Jaime-Lannister,Thoros-of-Myr,Undirected,3,4
Jaime-Lannister,Qyburn,Undirected,4,4
Jaime-Lannister,Osmund-Kettleblack,Undirected,17,4
Jaime-Lannister,Robb-Stark,Undirected,4,4
Jaime-Lannister,Renly-Baratheon,Undirected,6,4
Jaime-Lannister,Tyrion-Lannister,Undirected,19,4
Jaime-Lannister,Ryman-Frey,Undirected,13,4
Jaime-Lannister,Kevan-Lannister,Undirected,9,4
Jaime-Lannister,Mace-Tyrell,Undirected,5,4
Jaime-Lannister,Melara-Hetherspoon,Undirected,3,4
Jaime-Lannister,Olenna-Redwyne,Undirected,3,4
Jaime-Lannister,Pycelle,Undirected,10,4
Jaime-Lannister,Rafford,Undirected,3,4
Jaime-Lannister,Taena-of-Myr,Undirected,4,4
Jaime-Lannister,Varys,Undirected,11,4
Jaime-Lannister,Walder-Frey,Undirected,5,4
Jaime-Lannister,Shadrich,Undirected,3,4
Jaime-Lannister,Walder-Rivers,Undirected,4,4
Jaime-Lannister,Josmyn-Peckledon,Undirected,17,4
Jaime-Lannister,Joy-Hill,Undirected,3,4
Jaime-Lannister,Karyl-Vance,Undirected,4,4
Jaime-Lannister,Lewys-Piper,Undirected,3,4
Jaime-Lannister,Pia,Undirected,10,4
Jaime-Lannister,Rennifer-Longwaters,Undirected,3,4
Jaime-Lannister,Ronnet-Connington,Undirected,4,4
Jaime-Lannister,Shitmouth,Undirected,3,4
Jaime-Lannister,Sybell-Spicer,Undirected,4,4
Jaime-Lannister,Vargo-Hoat,Undirected,6,4
Jaime-Lannister,Wylis-Manderly,Undirected,3,4
Jaime-Lannister,Zollo,Undirected,3,4
Jaime-Lannister,Jonos-Bracken,Undirected,9,4
Jaime-Lannister,Tytos-Blackwood,Undirected,6,4
Aegon-Targaryen-(son-of-Rhaegar),Rhaegar-Targaryen,Undirected,12,4
Aegon-Targaryen-(son-of-Rhaegar),Tywin-Lannister,Undirected,3,4
Aegon-Targaryen-(son-of-Rhaegar),Tyrion-Lannister,Undirected,23,4
Aegon-Targaryen-(son-of-Rhaegar),Elia-Martell,Undirected,4,4
Aegon-Targaryen-(son-of-Rhaegar),Daenerys-Targaryen,Undirected,11,4
Aegon-Targaryen-(son-of-Rhaegar),Franklyn-Flowers,Undirected,3,4
Aegon-Targaryen-(son-of-Rhaegar),Haldon,Undirected,14,4
Aegon-Targaryen-(son-of-Rhaegar),Harry-Strickland,Undirected,9,4
Aegon-Targaryen-(son-of-Rhaegar),Jon-Connington,Undirected,16,4
Aegon-Targaryen-(son-of-Rhaegar),Lemore,Undirected,10,4
Aegon-Targaryen-(son-of-Rhaegar),Rhaenys-Targaryen-(daughter-of-Rhaegar),Undirected,4,4
Aegon-Targaryen-(son-of-Rhaegar),Rolly-Duckfield,Undirected,11,4
Aegon-Targaryen-(son-of-Rhaegar),Viserys-Targaryen,Undirected,3,4
Aegon-Targaryen-(son-of-Rhaegar),Yandry,Undirected,6,4
Aegon-Targaryen-(son-of-Rhaegar),Ysilla,Undirected,4,4
Rhaegar-Targaryen,Robert-Baratheon,Undirected,13,4
Aegon-V-Targaryen,Aemon-Targaryen-(Maester-Aemon),Undirected,3,4
Aemon-Targaryen-(Maester-Aemon),Alleras,Undirected,4,4
Aemon-Targaryen-(Maester-Aemon),Clydas,Undirected,12,4
Aemon-Targaryen-(Maester-Aemon),Dareon,Undirected,5,4
Aemon-Targaryen-(Maester-Aemon),Gilly,Undirected,20,4
Aemon-Targaryen-(Maester-Aemon),Jon-Snow,Undirected,29,4
Aemon-Targaryen-(Maester-Aemon),Samwell-Tarly,Undirected,57,4
Aemon-Targaryen-(Maester-Aemon),Stannis-Baratheon,Undirected,3,4
Alleras,Samwell-Tarly,Undirected,8,4
Alleras,Armen,Undirected,5,4
Alleras,Leo-Tyrell,Undirected,7,4
Alleras,Marwyn,Undirected,3,4
Alleras,Mollander,Undirected,7,4
Alleras,Pate-(novice),Undirected,8,4
Alleras,Roone,Undirected,6,4
Clydas,Jon-Snow,Undirected,20,4
Clydas,Samwell-Tarly,Undirected,3,4
Clydas,Stannis-Baratheon,Undirected,3,4
Clydas,Mully,Undirected,4,4
Dareon,Gilly,Undirected,7,4
