Id,Label
Greydon-Goodbrother,Greydon Goodbrother
Grigg,Grigg
Grimtongue,Grimtongue
Grisel,Grisel
Groleo,Groleo
Grunt,Grunt
Guncer-Sunglass,Guncer Sunglass
Gunthor-son-of-Gurn,Gunthor son of Gurn
Guyard-Morrigen,Guyard Morrigen
Gyles-Grafton,Gyles Grafton
Gyles-Rosby,Gyles Rosby
Gynir,Gynir
Hagen,Hagen
Haggo,Haggo
Haggon,Haggon
Hairy-Hal,Hairy Hal
Hake,Hake
Halder,Halder
Haldon,Haldon
Hali,Hali
Hallis-Mollen,Hallis Mollen
Hallyne,Hallyne
Halys-Hornwood,Halys Hornwood
Hareth-(Moles-Town),Hareth (Moles Town)
Harl,Harl
Harma,Harma
Harra,Harra
Harras-Harlaw,Harras Harlaw
Harren-Hoare,Harren Hoare
Harrold-Hardyng,Harrold Hardyng
Harry-Strickland,Harry Strickland
Harwin,Harwin
Harwood-Stout,Harwood Stout
Harys-Swyft,Harys Swyft
Hayhead,Hayhead
Helman-Tallhart,Helman Tallhart
Hero,Hero
Heward,Heward
High-Septon-(fat_one),High Septon (fat one)
High-Septon-(Tyrions),High Septon (Tyrions)
High-Sparrow,High Sparrow
Hizdahr-zo-Loraq,Hizdahr zo Loraq
Hobb,Hobb
Hobber-Redwyne,Hobber Redwyne
Hodor,Hodor
Holly,Holly
Hop-Robin,Hop Robin
Horas-Redwyne,Horas Redwyne
Horton-Redfort,Horton Redfort
Hosteen-Frey,Hosteen Frey
Hoster-Blackwood,Hoster Blackwood
Hoster-Tully,Hoster Tully
Hot-Pie,Hot Pie
Hother-Umber,Hother Umber
Hotho-Harlaw,Hotho Harlaw
Howland-Reed,Howland Reed
Hugh,Hugh
Hugh-Hungerford,Hugh Hungerford
Hugo-Vance,Hugo Vance
Hullen,Hullen
Humfrey-Hewett,Humfrey Hewett
Husband,Husband
Hyle-Hunt,Hyle Hunt
Illifer,Illifer
Illyrio-Mopatis,Illyrio Mopatis
Ilyn-Payne,Ilyn Payne
Imry-Florent,Imry Florent
Irri,Irri
Jacelyn-Bywater,Jacelyn Bywater
Jack-Be-Lucky,Jack Be Lucky
Jack-Bulwer,Jack Bulwer
Jacks,Jacks
Jaehaerys-I-Targaryen,Jaehaerys I Targaryen
Jafer-Flowers,Jafer Flowers
Jaime-Lannister,Jaime Lannister
Jalabhar-Xho,Jalabhar Xho
Janos-Slynt,Janos Slynt
Jaqen-Hghar,Jaqen Hghar
Jared-Frey,Jared Frey
Jaremy-Rykker,Jaremy Rykker
Jarl,Jarl
Jarman-Buckwell,Jarman Buckwell
Jason-Mallister,Jason Mallister
Jeor-Mormont,Jeor Mormont
Jeyne-Farman,Jeyne Farman
Jeyne-Heddle,Jeyne Heddle
Jeyne-Poole,Jeyne Poole
Jeyne-Westerling,Jeyne Westerling
Jhiqui,Jhiqui
Jhogo,Jhogo
Joanna-Lannister,Joanna Lannister
Jocelyn-Swyft,Jocelyn Swyft
Joffrey-Baratheon,Joffrey Baratheon
Jojen-Reed,Jojen Reed
Jommo,Jommo
Jon-Arryn,Jon Arryn
Jon-Connington,Jon Connington
Jon-Fossoway,Jon Fossoway
Jon-Snow,Jon Snow
Jon-Umber-(Greatjon),Jon Umber (Greatjon)
Jon-Umber-(Smalljon),Jon Umber (Smalljon)
Jonos-Bracken,Jonos Bracken
Jonothor-Darry,Jonothor Darry
Jonquil,Jonquil
Jorah-Mormont,Jorah Mormont
Joramun,Joramun
Jory-Cassel,Jory Cassel
Joseth,Joseth
Josmyn-Peckledon,Josmyn Peckledon
Joss,Joss
Joy-Hill,Joy Hill
Justin-Massey,Justin Massey
Jyck,Jyck
Karyl-Vance,Karyl Vance
Kasporio,Kasporio
Kedry,Kedry
Kegs,Kegs
Kella,Kella
Kerwin,Kerwin
Kevan-Lannister,Kevan Lannister
Khorane-Sathmantes,Khorane Sathmantes
Khrazz,Khrazz
Kindly-Man,Kindly Man
Kojja-Mo,Kojja Mo
Koss,Koss
Kraznys-mo-Nakloz,Kraznys mo Nakloz
Kurleket,Kurleket
Kurz,Kurz
Kyra,Kyra
Lambert-Turnberry,Lambert Turnberry
Lamprey,Lamprey
Lancel-Lannister,Lancel Lannister
Lanna-(Happy-Port),Lanna (Happy Port)
Lark,Lark
Larraq,Larraq
Leaf,Leaf
Leathers,Leathers
Lem,Lem
Lemore,Lemore
Leo-Lefford,Leo Lefford
Leo-Tyrell,Leo Tyrell
Leobald-Tallhart,Leobald Tallhart
Leona-Woolfield,Leona Woolfield
Leonette-Fossoway,Leonette Fossoway
Lewyn-Martell,Lewyn Martell
Lewys-Piper,Lewys Piper
Lollys-Stokeworth,Lollys Stokeworth
Lommy-Greenhands,Lommy Greenhands
Longwater-Pyke,Longwater Pyke
Loras-Tyrell,Loras Tyrell
Lorent-Caswell,Lorent Caswell
Lorren,Lorren
Lothar-Frey,Lothar Frey
Lothor-Brune,Lothor Brune
Lucas-Codd,Lucas Codd
Lucifer-Long,Lucifer Long
Luton,Luton
Luwin,Luwin
Lyanna-Mormont,Lyanna Mormont
Lyanna-Stark,Lyanna Stark
Lyle-Crakehall,Lyle Crakehall
Lyn-Corbray,Lyn Corbray
Lynesse-Hightower,Lynesse Hightower
Lyonel-Corbray,Lyonel Corbray
Lysa-Arryn,Lysa Arryn
Lysono-Maar,Lysono Maar
Mace-Tyrell,Mace Tyrell
Mad-Huntsman,Mad Huntsman
Maddy,Maddy
Maege-Mormont,Maege Mormont
Maegor-I-Targaryen,Maegor I Targaryen
Maekar-I-Targaryen,Maekar I Targaryen
Mag-Mar-Tun-Doh-Weg,Mag Mar Tun Doh Weg
Maggy,Maggy
Malaquo-Maegyr,Malaquo Maegyr
Malegorn,Malegorn
Mallador-Locke,Mallador Locke
Mance-Rayder,Mance Rayder
Mandon-Moore,Mandon Moore
Manfrey-Martell,Manfrey Martell
Margaery-Tyrell,Margaery Tyrell
Marghaz-zo-Loraq,Marghaz zo Loraq
Marillion,Marillion
Mariya-Darry,Mariya Darry
Mark-Mullendore,Mark Mullendore
Marlon-Manderly,Marlon Manderly
Maron-Greyjoy,Maron Greyjoy
Marq-Piper,Marq Piper
Marselen,Marselen
Martyn-Lannister,Martyn Lannister
Martyn-Rivers,Martyn Rivers
Marwyn,Marwyn
Marya-Seaworth,Marya Seaworth
Masha-Heddle,Masha Heddle
Mathis-Rowan,Mathis Rowan
Matthar,Matthar
Matthos-Seaworth,Matthos Seaworth
Mebble,Mebble
Meera-Reed,Meera Reed
Megga-Tyrell,Megga Tyrell
Melara-Hetherspoon,Melara Hetherspoon
Meldred-Merlyn,Meldred Merlyn
Melisandre,Melisandre
Mellei,Mellei
Meralyn,Meralyn
Meribald,Meribald
Meris,Meris
Mero,Mero
Merrett-Frey,Merrett Frey
Merrit,Merrit
Meryn-Trant,Meryn Trant
Mezzara,Mezzara
Mikken,Mikken
Miklaz,Miklaz
Mirri-Maz-Duur,Mirri Maz Duur
Missandei,Missandei
Moelle,Moelle
Mollander,Mollander
Monford-Velaryon,Monford Velaryon
Moon-Boy,Moon Boy
Moqorro,Moqorro
Mord,Mord
Mordane,Mordane
Moreo-Tumitis,Moreo Tumitis
Morgo,Morgo
Morra,Morra
Morrec,Morrec
Mors-Umber,Mors Umber
Mully,Mully
Munda,Munda
Murch,Murch
Murenmure,Murenmure
Mya-Stone,Mya Stone
Mycah,Mycah
Mychel-Redfort,Mychel Redfort
Myles-Toyne,Myles Toyne
Myranda-Royce,Myranda Royce
Myrcella-Baratheon,Myrcella Baratheon
Nage,Nage
Nan,Nan
Narbert,Narbert
Narbert-Grandison,Narbert Grandison
Nestor-Royce,Nestor Royce
Nurse,Nurse
Nute,Nute
Nyessos-Vhassar,Nyessos Vhassar
Nymeria-Sand,Nymeria Sand
Obara-Sand,Obara Sand
Oberyn-Martell,Oberyn Martell
Ogo,Ogo
Old-Bill-Bone,Old Bill Bone
Olenna-Redwyne,Olenna Redwyne
Olyvar-Frey,Olyvar Frey
Orell,Orell
Orton-Merryweather,Orton Merryweather
Osfryd-Kettleblack,Osfryd Kettleblack
Osha,Osha
Osmund-Kettleblack,Osmund Kettleblack
Osney-Kettleblack,Osney Kettleblack
Oswell-Kettleblack,Oswell Kettleblack
Oswell-Whent,Oswell Whent
Othell-Yarwyck,Othell Yarwyck
Othor,Othor
Ottyn-Wythers,Ottyn Wythers
Owen,Owen
Owen-Merryweather,Owen Merryweather
Oznak-zo-Pahl,Oznak zo Pahl
Palla,Palla
Patchface,Patchface
Pate-(novice),Pate (novice)
Pate-(Old),Pate (Old)
Pate-(whipping-boy),Pate (whipping boy)
Patrek-of-Kings-Mountain,Patrek of Kings Mountain
Paxter-Redwyne,Paxter Redwyne
Penny,Penny
Perwyn-Frey,Perwyn Frey
Petyr-Baelish,Petyr Baelish
Petyr-Frey,Petyr Frey
Pia,Pia
Podrick-Payne,Podrick Payne
Polliver,Polliver
Pono,Pono
Porridge,Porridge
Porther,Porther
Poxy-Tym,Poxy Tym
Praed,Praed
Prendahl-na-Ghezn,Prendahl na Ghezn
Preston-Greenfield,Preston Greenfield
Puckens,Puckens
Pyat-Pree,Pyat Pree
Pycelle,Pycelle
Pyg,Pyg
Pylos,Pylos
Pypar,Pypar
Qarl-the-Maid,Qarl the Maid
Qavo-Nogarys,Qavo Nogarys
Qezza,Qezza
Qhorin-Halfhand,Qhorin Halfhand
Qotho,Qotho
Quaithe,Quaithe
Quaro,Quaro
Quellon-Greyjoy,Quellon Greyjoy
Quentyn-Martell,Quentyn Martell
Quhuru-Mo,Quhuru Mo
Quill,Quill
Qyburn,Qyburn
Rafford,Rafford
Ragwyle,Ragwyle
Rakharo,Rakharo
Ralf-(Limper),Ralf (Limper)
Ralf-Stonehouse,Ralf Stonehouse
Ramsay-Snow,Ramsay Snow
Randyll-Tarly,Randyll Tarly
Rast,Rast
Rattleshirt,Rattleshirt
Ravella-Swann,Ravella Swann
Raymun-Darry,Raymun Darry
Raymun-Redbeard,Raymun Redbeard
Raynald-Westerling,Raynald Westerling
Raynard,Raynard
Red-Oarsman,Red Oarsman
Reek,Reek
Renly-Baratheon,Renly Baratheon
Rennifer-Longwaters,Rennifer Longwaters
Reznak-mo-Reznak,Reznak mo Reznak
Rhaegar-Frey,Rhaegar Frey
Rhaegar-Targaryen,Rhaegar Targaryen
Rhaegel-Targaryen,Rhaegel Targaryen
Rhaego,Rhaego
Rhaella-Targaryen,Rhaella Targaryen
Rhaenys-Targaryen,Rhaenys Targaryen
Rhaenys-Targaryen-(daughter-of-Rhaegar),Rhaenys Targaryen (daughter of Rhaegar)
Ricasso,Ricasso
Richard-Horpe,Richard Horpe
Rickard-Karstark,Rickard Karstark
Rickard-Stark,Rickard Stark
Rickon-Stark,Rickon Stark
Robar-Royce,Robar Royce
Robb-Stark,Robb Stark
Robert-Arryn,Robert Arryn
Robert-Baratheon,Robert Baratheon
Robert-Strong,Robert Strong
Robett-Glover,Robett Glover
Robin-Flint,Robin Flint
Robin-Ryger,Robin Ryger
Rodrik-Cassel,Rodrik Cassel
Rodrik-Harlaw,Rodrik Harlaw
Rodrik-Sparr,Rodrik Sparr
Roger-Ryswell,Roger Ryswell
Rolfe-the-Dwarf,Rolfe the Dwarf
Rollam-Westerling,Rollam Westerling
Rolly-Duckfield,Rolly Duckfield
Rolph-Spicer,Rolph Spicer
Ronnet-Connington,Ronnet Connington
Roone,Roone
Roose-Bolton,Roose Bolton
Roose-Ryswell,Roose Ryswell
Rorge,Rorge
Rory,Rory
Rosey,Rosey
Roslin-Frey,Roslin Frey
Rossart,Rossart
Rowan,Rowan
Rugen,Rugen
Rus,Rus
Ryk,Ryk
Ryman-Frey,Ryman Frey
Salladhor-Saan,Salladhor Saan
Sallor,Sallor
Samwell-Tarly,Samwell Tarly
Sandor-Clegane,Sandor Clegane
Sansa-Stark,Sansa Stark
Sarella-Sand,Sarella Sand
Satin,Satin
Sawane-Botley,Sawane Botley
Scar,Scar
Scolera,Scolera
Selwyn-Tarth,Selwyn Tarth
Selyse-Florent,Selyse Florent
Senelle,Senelle
Shadd,Shadd
Shadrich,Shadrich
Shae,Shae
Shagga,Shagga
Shagwell,Shagwell
Sharna,Sharna
Shireen-Baratheon,Shireen Baratheon
Shitmouth,Shitmouth
Shortear,Shortear
Shrouded-Lord,Shrouded Lord
Sigfryd-Harlaw,Sigfryd Harlaw
Sigorn,Sigorn
Simon-Toyne,Simon Toyne
Skahaz-mo-Kandaq,Skahaz mo Kandaq
Skinner,Skinner
Small-Paul,Small Paul
Smiling-Knight,Smiling Knight
Softfoot,Softfoot
Soren-Shieldbreaker,Soren Shieldbreaker
Sour-Alyn,Sour Alyn
Spare-Boot,Spare Boot
Spotted-Cat,Spotted Cat
Squint,Squint
Squirrel,Squirrel
Stafford-Lannister,Stafford Lannister
Stannis-Baratheon,Stannis Baratheon
Steelskin,Steelskin
Steffon-Baratheon,Steffon Baratheon
Steffon-Varner,Steffon Varner
Stevron-Frey,Stevron Frey
Stiv,Stiv
Stonesnake,Stonesnake
Stygg,Stygg
Styr,Styr
Sweets,Sweets
Sybell-Spicer,Sybell Spicer
Sybelle-Glover,Sybelle Glover
Sylva-Santagar,Sylva Santagar
Symon-Silver-Tongue,Symon Silver Tongue
Symon-Stripeback,Symon Stripeback
Symond-Templeton,Symond Templeton
Syrio-Forel,Syrio Forel
Taena-of-Myr,Taena of Myr
Talbert-Serry,Talbert Serry
Talea,Talea
Tallad,Tallad
Tanda-Stokeworth,Tanda Stokeworth
Tansy,Tansy
Tarber,Tarber
Tattered-Prince,Tattered Prince
Ternesio-Terys,Ternesio Terys
Terrance-Lynderly,Terrance Lynderly
Theobald,Theobald
Theomore,Theomore
Theon-Greyjoy,Theon Greyjoy
Thistle,Thistle
Thoren-Smallwood,Thoren Smallwood
Thoros-of-Myr,Thoros of Myr
Tickler,Tickler
Timeon,Timeon
Timett,Timett
Timoth,Timoth
Tion-Frey,Tion Frey
Tobho-Mott,Tobho Mott
Todder,Todder
Tom-Barleycorn,Tom Barleycorn
Tom-of-Sevenstreams,Tom of Sevenstreams
Tomard,Tomard
Tommen-Baratheon,Tommen Baratheon
Torbert,Torbert
Toregg,Toregg
Torghen-Flint,Torghen Flint
Torgon-Greyiron,Torgon Greyiron
Tormund,Tormund
Torrhen-Karstark,Torrhen Karstark
Torrhen-Stark,Torrhen Stark
Torwold-Browntooth,Torwold Browntooth
Tregar,Tregar
Tristifer-Botley,Tristifer Botley
Tristifer-IV-Mudd,Tristifer IV Mudd
Trystane-Martell,Trystane Martell
Tybero-Istarion,Tybero Istarion
Tycho-Nestoris,Tycho Nestoris
Tyene-Sand,Tyene Sand
Tyrion-Lannister,Tyrion Lannister
Tysha,Tysha
Tytos-Blackwood,Tytos Blackwood
Tywin-Lannister,Tywin Lannister
Ulf-son-of-Umar,Ulf son of Umar
Ulmer,Ulmer
Umma,Umma
Unella,Unella
Urswyck,Urswyck
Urzen,Urzen
Utherydes-Wayn,Utherydes Wayn
Val,Val
Varamyr,Varamyr
Vardis-Egen,Vardis Egen
Vargo-Hoat,Vargo Hoat
Varly,Varly
Varys,Varys
Vayon-Poole,Vayon Poole
Victarion-Greyjoy,Victarion Greyjoy
Visenya-Targaryen,Visenya Targaryen
Viserys-Targaryen,Viserys Targaryen
Vylarr,Vylarr
Vyman,Vyman
Waif,Waif
Walda-Frey-(daughter-of-Merrett),Walda Frey (daughter of Merrett)
Walder-Frey,Walder Frey
Walder-Frey-(son-of-Jammos),Walder Frey (son of Jammos)
Walder-Frey-(son-of-Merrett),Walder Frey (son of Merrett)
Walder-Rivers,Walder Rivers
Walgrave,Walgrave
Walton,Walton
Watt,Watt
Waymar-Royce,Waymar Royce
Weasel,Weasel
Weeper,Weeper
Weese,Weese
Wendel-Manderly,Wendel Manderly
Werlag,Werlag
Wex-Pyke,Wex Pyke
Wick-Whittlestick,Wick Whittlestick
Widower,Widower
Will-(prologue),Will (prologue)
Willam-Dustin,Willam Dustin
Willas-Tyrell,Willas Tyrell
Willem-Lannister,Willem Lannister
William-Foxglove,William Foxglove
Willis-Wode,Willis Wode
Willow-Heddle,Willow Heddle
Willow-Witch-eye,Willow Witch eye
Woth,Woth
Wulfe,Wulfe
Wun-Weg-Wun-Dar-Wun,Wun Weg Wun Dar Wun
Wyl-(guard),Wyl (guard)
Wylis-Manderly,Wylis Manderly
Wylla,Wylla
Wyman-Manderly,Wyman Manderly
Wynton-Stout,Wynton Stout
Xaro-Xhoan-Daxos,Xaro Xhoan Daxos
Xhondo,Xhondo
Yandry,Yandry
Yellow-Dick,Yellow Dick
Yezzan-zo-Qaggaz,Yezzan zo Qaggaz
Ygritte,Ygritte
Yohn-Royce,Yohn Royce
Yoren,Yoren
Yorko-Terys,Yorko Terys
Ysilla,Ysilla
Yurkhaz-zo-Yunzak,Yurkhaz zo Yunzak
Zei,Zei
Zollo,Zollo
