Id,Label
Oberyn-Martell,Oberyn Martell
Old-Bill-Bone,Old Bill Bone
Olenna-Redwyne,Olenna Redwyne
Orton-Merryweather,Orton Merryweather
Osfryd-Kettleblack,Osfryd Kettleblack
Osmund-Kettleblack,Osmund Kettleblack
Osney-Kettleblack,Osney Kettleblack
Othell-Yarwyck,Othell Yarwyck
Owen,Owen
Owen-Merryweather,Owen Merryweather
Patchface,Patchface
Pate-(novice),Pate (novice)
Pate-(whipping-boy),Pate (whipping boy)
Patrek-of-Kings-Mountain,Patrek of Kings Mountain
Paxter-Redwyne,Paxter Redwyne
Penny,Penny
Petyr-Baelish,Littlefinger
Pia,Pia
Podrick-Payne,Podrick Payne
Pono,Pono
Puckens,Puckens
Pycelle,Pycelle
Pyg,Pyg
Pypar,Pypar
Qarl-the-Maid,Qarl the Maid
Qavo-Nogarys,Qavo Nogarys
Qezza,Qezza
Qhorin-Halfhand,Qhorin Halfhand
Quaithe,Quaithe
Quellon-Greyjoy,Quellon Greyjoy
Quentyn-Martell,Quentyn
Quhuru-Mo,Quhuru Mo
Quill,Quill
Qyburn,Qyburn
Rafford,Rafford
Rakharo,Rakharo
Ralf-(Limper),Ralf (Limper)
Ralf-Stonehouse,Ralf Stonehouse
Ramsay-Snow,Ramsay
Randyll-Tarly,Randyll Tarly
Rattleshirt,Rattleshirt
Raymun-Redbeard,Raymun Redbeard
Raynard,Raynard
Red-Oarsman,Red Oarsman
Renly-Baratheon,Renly Baratheon
Rennifer-Longwaters,Rennifer Longwaters
Reznak-mo-Reznak,Reznak mo Reznak
Rhaegar-Frey,Rhaegar Frey
Rhaegar-Targaryen,Rhaegar Targaryen
Rhaenys-Targaryen-(daughter-of-Rhaegar),Rhaenys Targaryen (daughter of Rhaegar)
Ricasso,Ricasso
Richard-Horpe,Richard Horpe
Rickard-Karstark,Rickard Karstark
Rickon-Stark,Rickon Stark
Robb-Stark,Robb
Robert-Arryn,Robert Arryn
Robert-Baratheon,Robert
Robert-Strong,Robert Strong
Robett-Glover,Robett Glover
Rodrik-Cassel,Rodrik Cassel
Rodrik-Harlaw,Rodrik Harlaw
Rodrik-Sparr,Rodrik Sparr
Roger-Ryswell,Roger Ryswell
Rolfe-the-Dwarf,Rolfe the Dwarf
Rolly-Duckfield,Rolly Duckfield
Ronnet-Connington,Ronnet Connington
Roone,Roone
Roose-Bolton,Roose Bolton
Roose-Ryswell,Roose Ryswell
Rory,Rory
Rosey,Rosey
Roslin-Frey,Roslin Frey
Rowan,Rowan
Rugen,Rugen
Rus,Rus
Ryman-Frey,Ryman Frey
Salladhor-Saan,Salladhor Saan
Samwell-Tarly,Samwell
Sandor-Clegane,Sandor Clegane
Sansa-Stark,Sansa
Sarella-Sand,Sarella Sand
Satin,Satin
Sawane-Botley,Sawane Botley
Scar,Scar
Scolera,Scolera
Selyse-Florent,Selyse
Senelle,Senelle
Shadrich,Shadrich
Shae,Shae
Shagwell,Shagwell
Shireen-Baratheon,Shireen Baratheon
Shitmouth,Shitmouth
Shortear,Shortear
Shrouded-Lord,Shrouded Lord
Sigfryd-Harlaw,Sigfryd Harlaw
Sigorn,Sigorn
Skahaz-mo-Kandaq,Skahaz mo Kandaq
Skinner,Skinner
Soren-Shieldbreaker,Soren Shieldbreaker
Sour-Alyn,Sour Alyn
Spotted-Cat,Spotted Cat
Squirrel,Squirrel
Stannis-Baratheon,Stannis
Steelskin,Steelskin
Sweets,Sweets
Sybell-Spicer,Sybell Spicer
Sybelle-Glover,Sybelle Glover
Sylva-Santagar,Sylva Santagar
Symon-Stripeback,Symon Stripeback
Symond-Templeton,Symond Templeton
Syrio-Forel,Syrio Forel
Taena-of-Myr,Taena of Myr
Talbert-Serry,Talbert Serry
Talea,Talea
Tallad,Tallad
Tanda-Stokeworth,Tanda Stokeworth
Tattered-Prince,Tattered Prince
Ternesio-Terys,Ternesio Terys
Terrance-Lynderly,Terrance Lynderly
Theobald,Theobald
Theomore,Theomore
Theon-Greyjoy,Theon
Thistle,Thistle
Thoros-of-Myr,Thoros of Myr
Tickler,Tickler
Timeon,Timeon
Timoth,Timoth
Todder,Todder
Tom-Barleycorn,Tom Barleycorn
Tommen-Baratheon,Tommen
Torbert,Torbert
Toregg,Toregg
Torghen-Flint,Torghen Flint
Torgon-Greyiron,Torgon Greyiron
Tormund,Tormund
Torwold-Browntooth,Torwold Browntooth
Tristifer-Botley,Tristifer Botley
Trystane-Martell,Trystane Martell
Tybero-Istarion,Tybero Istarion
Tycho-Nestoris,Tycho Nestoris
Tyene-Sand,Tyene Sand
Tyrion-Lannister,Tyrion
Tysha,Tysha
Tytos-Blackwood,Tytos Blackwood
Tywin-Lannister,Tywin
Ulmer,Ulmer
Umma,Umma
Unella,Unella
Val,Val
Varamyr,Varamyr
Vargo-Hoat,Vargo Hoat
Varys,Varys
Victarion-Greyjoy,Victarion
Viserys-Targaryen,Viserys Targaryen
Waif,Waif
Walda-Frey-(daughter-of-Merrett),Walda Frey (daughter of Merrett)
Walder-Frey,Walder Frey
Walder-Frey-(son-of-Jammos),Walder Frey (son of Jammos)
Walder-Frey-(son-of-Merrett),Walder Frey (son of Merrett)
Walder-Rivers,Walder Rivers
Walgrave,Walgrave
Weeper,Weeper
Wex-Pyke,Wex Pyke
Wick-Whittlestick,Wick Whittlestick
Widower,Widower
Willam-Dustin,Willam Dustin
Willas-Tyrell,Willas Tyrell
William-Foxglove,William Foxglove
Willow-Heddle,Willow Heddle
Willow-Witch-eye,Willow Witch eye
Wulfe,Wulfe
Wun-Weg-Wun-Dar-Wun,Wun Weg Wun Dar Wun
Wylis-Manderly,Wylis Manderly
Wyman-Manderly,Wyman
Xaro-Xhoan-Daxos,Xaro Xhoan Daxos
Xhondo,Xhondo
Yandry,Yandry
Yellow-Dick,Yellow Dick
Yezzan-zo-Qaggaz,Yezzan zo Qaggaz
Ygritte,Ygritte
Yohn-Royce,Yohn Royce
Yorko-Terys,Yorko Terys
Ysilla,Ysilla
Yurkhaz-zo-Yunzak,Yurkhaz zo Yunzak
Zollo,Zollo
