Source,Target,Type,id,label,timeset,weight,book
Bran-Stark,Cley-Cerwyn,Undirected,163,,,5.0,2
Bran-Stark,Donella-Hornwood,Undirected,164,,,5.0,2
Bran-Stark,Eddard-Stark,Undirected,165,,,4.0,2
Bran-Stark,Hayhead,Undirected,166,,,6.0,2
Bran-Stark,Hodor,Undirected,167,,,59.0,2
Bran-Stark,Howland-Reed,Undirected,168,,,3.0,2
Bran-Stark,Jojen-Reed,Undirected,169,,,47.0,2
Bran-Stark,Jon-Snow,Undirected,170,,,11.0,2
Bran-Stark,Luwin,Undirected,171,,,51.0,2
Bran-Stark,Meera-Reed,Undirected,172,,,36.0,2
Bran-Stark,Mikken,Undirected,173,,,11.0,2
Bran-Stark,Nan,Undirected,174,,,7.0,2
Bran-Stark,Osha,Undirected,175,,,30.0,2
Bran-Stark,Poxy-Tym,Undirected,176,,,3.0,2
Bran-Stark,Ramsay-Snow,Undirected,177,,,7.0,2
Bran-Stark,Reek,Undirected,178,,,3.0,2
Bran-Stark,Rickon-Stark,Undirected,179,,,54.0,2
Bran-Stark,Robb-Stark,Undirected,180,,,28.0,2
Bran-Stark,Rodrik-Cassel,Undirected,181,,,34.0,2
Bran-Stark,Sansa-Stark,Undirected,182,,,5.0,2
Bran-Stark,Stafford-Lannister,Undirected,183,,,3.0,2
Bran-Stark,Theon-Greyjoy,Undirected,184,,,24.0,2
Bran-Stark,Walder-Frey-(son-of-Jammos),Undirected,185,,,5.0,2
Bran-Stark,Walder-Frey-(son-of-Merrett),Undirected,186,,,12.0,2
Bran-Stark,Wyman-Manderly,Undirected,187,,,6.0,2
Brienne-of-Tarth,Catelyn-Stark,Undirected,188,,,36.0,2
Brienne-of-Tarth,Edmure-Tully,Undirected,189,,,3.0,2
Brienne-of-Tarth,Emmon-Cuy,Undirected,190,,,8.0,2
Brienne-of-Tarth,Jaime-Lannister,Undirected,191,,,3.0,2
Brienne-of-Tarth,Renly-Baratheon,Undirected,192,,,28.0,2
Brienne-of-Tarth,Robar-Royce,Undirected,193,,,3.0,2
Brienne-of-Tarth,Robert-Baratheon,Undirected,194,,,3.0,2
Brienne-of-Tarth,Selwyn-Tarth,Undirected,195,,,4.0,2
Brienne-of-Tarth,Stannis-Baratheon,Undirected,196,,,5.0,2
Brienne-of-Tarth,Vyman,Undirected,197,,,3.0,2
Bronn,Cersei-Lannister,Undirected,198,,,11.0,2
Bronn,Jacelyn-Bywater,Undirected,199,,,7.0,2
Bronn,Joffrey-Baratheon,Undirected,200,,,9.0,2
Bronn,Mandon-Moore,Undirected,201,,,5.0,2
Bronn,Podrick-Payne,Undirected,202,,,3.0,2
Bronn,Stannis-Baratheon,Undirected,203,,,3.0,2
Bronn,Timett,Undirected,204,,,5.0,2
Bronn,Tommen-Baratheon,Undirected,205,,,3.0,2
Bronn,Tyrion-Lannister,Undirected,206,,,40.0,2
Bronn,Varys,Undirected,207,,,8.0,2
Bryce-Caron,Cortnay-Penrose,Undirected,208,,,3.0,2
Bryce-Caron,Eldon-Estermont,Undirected,209,,,3.0,2
Bryce-Caron,Guyard-Morrigen,Undirected,210,,,5.0,2
Bryce-Caron,Renly-Baratheon,Undirected,211,,,7.0,2
Bryce-Caron,Stannis-Baratheon,Undirected,212,,,3.0,2
Brynden-Tully,Catelyn-Stark,Undirected,213,,,5.0,2
Brynden-Tully,Robb-Stark,Undirected,214,,,6.0,2
Brynden-Tully,Tywin-Lannister,Undirected,215,,,3.0,2
Captain-Myraham,Theon-Greyjoy,Undirected,216,,,4.0,2
Captain-Myraham-Daughter,Theon-Greyjoy,Undirected,217,,,3.0,2
Catelyn-Stark,Cersei-Lannister,Undirected,218,,,14.0,2
Catelyn-Stark,Cleos-Frey,Undirected,219,,,5.0,2
Catelyn-Stark,Colen-of-Greenpools,Undirected,220,,,6.0,2
Catelyn-Stark,Desmond-Grell,Undirected,221,,,3.0,2
Catelyn-Stark,Eddard-Stark,Undirected,222,,,12.0,2
Catelyn-Stark,Edmure-Tully,Undirected,223,,,17.0,2
Catelyn-Stark,Hallis-Mollen,Undirected,224,,,6.0,2
Catelyn-Stark,Hoster-Tully,Undirected,225,,,5.0,2
Catelyn-Stark,Jaime-Lannister,Undirected,226,,,16.0,2
Catelyn-Stark,Joffrey-Baratheon,Undirected,227,,,4.0,2
Catelyn-Stark,Loras-Tyrell,Undirected,228,,,6.0,2
Catelyn-Stark,Lysa-Arryn,Undirected,229,,,7.0,2
Catelyn-Stark,Margaery-Tyrell,Undirected,230,,,4.0,2
Catelyn-Stark,Mathis-Rowan,Undirected,231,,,3.0,2
Catelyn-Stark,Randyll-Tarly,Undirected,232,,,3.0,2
Catelyn-Stark,Renly-Baratheon,Undirected,233,,,51.0,2
Catelyn-Stark,Rickon-Stark,Undirected,234,,,3.0,2
Catelyn-Stark,Robar-Royce,Undirected,235,,,7.0,2
Catelyn-Stark,Robb-Stark,Undirected,236,,,27.0,2
Catelyn-Stark,Robert-Baratheon,Undirected,237,,,5.0,2
Catelyn-Stark,Sansa-Stark,Undirected,238,,,3.0,2
Catelyn-Stark,Stafford-Lannister,Undirected,239,,,3.0,2
Catelyn-Stark,Stannis-Baratheon,Undirected,240,,,20.0,2
Catelyn-Stark,Theon-Greyjoy,Undirected,241,,,5.0,2
Catelyn-Stark,Tyrion-Lannister,Undirected,242,,,10.0,2
Catelyn-Stark,Tywin-Lannister,Undirected,243,,,14.0,2
Catelyn-Stark,Utherydes-Wayn,Undirected,244,,,3.0,2
Catelyn-Stark,Vyman,Undirected,245,,,4.0,2
Catelyn-Stark,Wendel-Manderly,Undirected,246,,,7.0,2
Cersei-Lannister,Chiswyck,Undirected,247,,,3.0,2
Cersei-Lannister,Cleos-Frey,Undirected,248,,,6.0,2
Cersei-Lannister,Dunsen,Undirected,249,,,3.0,2
Cersei-Lannister,Eddard-Stark,Undirected,250,,,13.0,2
Cersei-Lannister,Gregor-Clegane,Undirected,251,,,4.0,2
Cersei-Lannister,Gyles-Rosby,Undirected,252,,,6.0,2
Cersei-Lannister,Ilyn-Payne,Undirected,253,,,12.0,2
Cersei-Lannister,Jacelyn-Bywater,Undirected,254,,,4.0,2
Cersei-Lannister,Jaime-Lannister,Undirected,255,,,17.0,2
Cersei-Lannister,Janos-Slynt,Undirected,256,,,9.0,2
Cersei-Lannister,Joffrey-Baratheon,Undirected,257,,,63.0,2
Cersei-Lannister,Lancel-Lannister,Undirected,258,,,20.0,2
Cersei-Lannister,Lysa-Arryn,Undirected,259,,,5.0,2
Cersei-Lannister,Meryn-Trant,Undirected,260,,,11.0,2
Cersei-Lannister,Myrcella-Baratheon,Undirected,261,,,4.0,2
Cersei-Lannister,Osfryd-Kettleblack,Undirected,262,,,7.0,2
Cersei-Lannister,Osmund-Kettleblack,Undirected,263,,,4.0,2
Cersei-Lannister,Osney-Kettleblack,Undirected,264,,,3.0,2
Cersei-Lannister,Petyr-Baelish,Undirected,265,,,7.0,2
Cersei-Lannister,Polliver,Undirected,266,,,3.0,2
Cersei-Lannister,Preston-Greenfield,Undirected,267,,,3.0,2
Cersei-Lannister,Pycelle,Undirected,268,,,6.0,2
Cersei-Lannister,Rafford,Undirected,269,,,3.0,2
Cersei-Lannister,Renly-Baratheon,Undirected,270,,,7.0,2
Cersei-Lannister,Robb-Stark,Undirected,271,,,15.0,2
Cersei-Lannister,Robert-Baratheon,Undirected,272,,,12.0,2
Cersei-Lannister,Sandor-Clegane,Undirected,273,,,9.0,2
Cersei-Lannister,Sansa-Stark,Undirected,274,,,39.0,2
Cersei-Lannister,Shae,Undirected,275,,,5.0,2
Cersei-Lannister,Stannis-Baratheon,Undirected,276,,,23.0,2
Cersei-Lannister,Tanda-Stokeworth,Undirected,277,,,3.0,2
Cersei-Lannister,Tickler,Undirected,278,,,5.0,2
Cersei-Lannister,Tommen-Baratheon,Undirected,279,,,10.0,2
Cersei-Lannister,Tyrion-Lannister,Undirected,280,,,87.0,2
Cersei-Lannister,Tywin-Lannister,Undirected,281,,,10.0,2
Cersei-Lannister,Varys,Undirected,282,,,23.0,2
Cersei-Lannister,Vylarr,Undirected,283,,,3.0,2
Chataya,Tyrion-Lannister,Undirected,284,,,6.0,2
Chayle,Mikken,Undirected,285,,,4.0,2
Chella,Shae,Undirected,286,,,4.0,2
Chella,Tyrion-Lannister,Undirected,287,,,3.0,2
